#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.313647173489; l_2=0.24630884502918; l_3=0; l_4=0; l_5=0.24630884502918; l_6=0; l_7=0; l_8=0; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) [Magnitude / dB]"
#-----------------------------------------------------
27.000000000000	-0.57355848252377
27.002000000000	-0.57430190201563
27.004000000000	-0.57504367785249
27.006000000000	-0.57578378042786
27.008000000000	-0.57652218040022
27.010000000000	-0.57725884869262
27.012000000000	-0.57799375649217
27.014000000000	-0.57872687524959
27.016000000000	-0.57945817667871
27.018000000000	-0.58018763275602
27.020000000000	-0.58091521572019
27.022000000000	-0.58164089807158
27.024000000000	-0.58236465257180
27.026000000000	-0.58308645224317
27.028000000000	-0.58380627036834
27.030000000000	-0.58452408048971
27.032000000000	-0.58523985640903
27.034000000000	-0.58595357218692
27.036000000000	-0.58666520214234
27.038000000000	-0.58737472085216
27.040000000000	-0.58808210315071
27.042000000000	-0.58878732412922
27.044000000000	-0.58949035913543
27.046000000000	-0.59019118377308
27.048000000000	-0.59088977390143
27.050000000000	-0.59158610563481
27.052000000000	-0.59228015534211
27.054000000000	-0.59297189964638
27.056000000000	-0.59366131542426
27.058000000000	-0.59434837980558
27.060000000000	-0.59503307017289
27.062000000000	-0.59571536416093
27.064000000000	-0.59639523965624
27.066000000000	-0.59707267479662
27.068000000000	-0.59774764797074
27.070000000000	-0.59842013781757
27.072000000000	-0.59909012322603
27.074000000000	-0.59975758333445
27.076000000000	-0.60042249753011
27.078000000000	-0.60108484544880
27.080000000000	-0.60174460697438
27.082000000000	-0.60240176223826
27.084000000000	-0.60305629161898
27.086000000000	-0.60370817574174
27.088000000000	-0.60435739547797
27.090000000000	-0.60500393194481
27.092000000000	-0.60564776650474
27.094000000000	-0.60628888076504
27.096000000000	-0.60692725657741
27.098000000000	-0.60756287603748
27.100000000000	-0.60819572148437
27.102000000000	-0.60882577550024
27.104000000000	-0.60945302090986
27.106000000000	-0.61007744078011
27.108000000000	-0.61069901841963
27.110000000000	-0.61131773737828
27.112000000000	-0.61193358144677
27.114000000000	-0.61254653465618
27.116000000000	-0.61315658127755
27.118000000000	-0.61376370582141
27.120000000000	-0.61436789303738
27.122000000000	-0.61496912791373
27.124000000000	-0.61556739567692
27.126000000000	-0.61616268179122
27.128000000000	-0.61675497195824
27.130000000000	-0.61734425211652
27.132000000000	-0.61793050844110
27.134000000000	-0.61851372734313
27.136000000000	-0.61909389546938
27.138000000000	-0.61967099970190
27.140000000000	-0.62024502715755
27.142000000000	-0.62081596518762
27.144000000000	-0.62138380137736
27.146000000000	-0.62194852354565
27.148000000000	-0.62251011974453
27.150000000000	-0.62306857825881
27.152000000000	-0.62362388760567
27.154000000000	-0.62417603653424
27.156000000000	-0.62472501402523
27.158000000000	-0.62527080929050
27.160000000000	-0.62581341177267
27.162000000000	-0.62635281114474
27.164000000000	-0.62688899730968
27.166000000000	-0.62742196040003
27.168000000000	-0.62795169077755
27.170000000000	-0.62847817903278
27.172000000000	-0.62900141598471
27.174000000000	-0.62952139268035
27.176000000000	-0.63003810039437
27.178000000000	-0.63055153062871
27.180000000000	-0.63106167511223
27.182000000000	-0.63156852580033
27.184000000000	-0.63207207487452
27.186000000000	-0.63257231474214
27.188000000000	-0.63306923803593
27.190000000000	-0.63356283761368
27.192000000000	-0.63405310655786
27.194000000000	-0.63454003817530
27.196000000000	-0.63502362599675
27.198000000000	-0.63550386377661
27.200000000000	-0.63598074549251
27.202000000000	-0.63645426534500
27.204000000000	-0.63692441775718
27.206000000000	-0.63739119737433
27.208000000000	-0.63785459906363
27.210000000000	-0.63831461791373
27.212000000000	-0.63877124923450
27.214000000000	-0.63922448855659
27.216000000000	-0.63967433163120
27.218000000000	-0.64012077442966
27.220000000000	-0.64056381314315
27.222000000000	-0.64100344418231
27.224000000000	-0.64143966417700
27.226000000000	-0.64187246997590
27.228000000000	-0.64230185864622
27.230000000000	-0.64272782747336
27.232000000000	-0.64315037396062
27.234000000000	-0.64356949582885
27.236000000000	-0.64398519101616
27.238000000000	-0.64439745767760
27.240000000000	-0.64480629418484
27.242000000000	-0.64521169912587
27.244000000000	-0.64561367130472
27.246000000000	-0.64601220974111
27.248000000000	-0.64640731367016
27.250000000000	-0.64679898254214
27.252000000000	-0.64718721602211
27.254000000000	-0.64757201398966
27.256000000000	-0.64795337653861
27.258000000000	-0.64833130397671
27.260000000000	-0.64870579682539
27.262000000000	-0.64907685581941
27.264000000000	-0.64944448190665
27.266000000000	-0.64980867624777
27.268000000000	-0.65016944021597
27.270000000000	-0.65052677539669
27.272000000000	-0.65088068358733
27.274000000000	-0.65123116679703
27.276000000000	-0.65157822724631
27.278000000000	-0.65192186736690
27.280000000000	-0.65226208980141
27.282000000000	-0.65259889740307
27.284000000000	-0.65293229323549
27.286000000000	-0.65326228057241
27.288000000000	-0.65358886289741
27.290000000000	-0.65391204390367
27.292000000000	-0.65423182749373
27.294000000000	-0.65454821777921
27.296000000000	-0.65486121908058
27.298000000000	-0.65517083592693
27.300000000000	-0.65547707305568
27.302000000000	-0.65577993541238
27.304000000000	-0.65607942815044
27.306000000000	-0.65637555663091
27.308000000000	-0.65666832642225
27.310000000000	-0.65695774330005
27.312000000000	-0.65724381324685
27.314000000000	-0.65752654245190
27.316000000000	-0.65780593731088
27.318000000000	-0.65808200442575
27.320000000000	-0.65835475060447
27.322000000000	-0.65862418286079
27.324000000000	-0.65889030841404
27.326000000000	-0.65915313468890
27.328000000000	-0.65941266931518
27.330000000000	-0.65966892012763
27.332000000000	-0.65992189516567
27.334000000000	-0.66017160267324
27.336000000000	-0.66041805109856
27.338000000000	-0.66066124909391
27.340000000000	-0.66090120551545
27.342000000000	-0.66113792942299
27.344000000000	-0.66137143007982
27.346000000000	-0.66160171695246
27.348000000000	-0.66182879971050
27.350000000000	-0.66205268822638
27.352000000000	-0.66227339257523
27.354000000000	-0.66249092303460
27.356000000000	-0.66270529008434
27.358000000000	-0.66291650440638
27.360000000000	-0.66312457688454
27.362000000000	-0.66332951860433
27.364000000000	-0.66353134085277
27.366000000000	-0.66373005511823
27.368000000000	-0.66392567309021
27.370000000000	-0.66411820665916
27.372000000000	-0.66430766791632
27.374000000000	-0.66449406915352
27.376000000000	-0.66467742286303
27.378000000000	-0.66485774173733
27.380000000000	-0.66503503866898
27.382000000000	-0.66520932675045
27.384000000000	-0.66538061927389
27.386000000000	-0.66554892973102
27.388000000000	-0.66571427181293
27.390000000000	-0.66587665940990
27.392000000000	-0.66603610661127
27.394000000000	-0.66619262770521
27.396000000000	-0.66634623717864
27.398000000000	-0.66649694971697
27.400000000000	-0.66664478020401
27.402000000000	-0.66678974372176
27.404000000000	-0.66693185555029
27.406000000000	-0.66707113116753
27.408000000000	-0.66720758624915
27.410000000000	-0.66734123666837
27.412000000000	-0.66747209849585
27.414000000000	-0.66760018799945
27.416000000000	-0.66772552164419
27.418000000000	-0.66784811609195
27.420000000000	-0.66796798820146
27.422000000000	-0.66808515502805
27.424000000000	-0.66819963382351
27.426000000000	-0.66831144203599
27.428000000000	-0.66842059730978
27.430000000000	-0.66852711748520
27.432000000000	-0.66863102059844
27.434000000000	-0.66873232488141
27.436000000000	-0.66883104876159
27.438000000000	-0.66892721086187
27.440000000000	-0.66902083000043
27.442000000000	-0.66911192519055
27.444000000000	-0.66920051564050
27.446000000000	-0.66928662075339
27.448000000000	-0.66937026012698
27.450000000000	-0.66945145355360
27.452000000000	-0.66953022101995
27.454000000000	-0.66960658270698
27.456000000000	-0.66968055898973
27.458000000000	-0.66975217043720
27.460000000000	-0.66982143781220
27.462000000000	-0.66988838207119
27.464000000000	-0.66995302436415
27.466000000000	-0.67001538603445
27.468000000000	-0.67007548861866
27.470000000000	-0.67013335384645
27.472000000000	-0.67018900364043
27.474000000000	-0.67024246011597
27.476000000000	-0.67029374558114
27.478000000000	-0.67034288253645
27.480000000000	-0.67038989367483
27.482000000000	-0.67043480188137
27.484000000000	-0.67047763023324
27.486000000000	-0.67051840199954
27.488000000000	-0.67055714064113
27.490000000000	-0.67059386981049
27.492000000000	-0.67062861335159
27.494000000000	-0.67066139529971
27.496000000000	-0.67069223988134
27.498000000000	-0.67072117151397
27.500000000000	-0.67074821480599
27.502000000000	-0.67077339455653
27.504000000000	-0.67079673575528
27.506000000000	-0.67081826358238
27.508000000000	-0.67083800340823
27.510000000000	-0.67085598079338
27.512000000000	-0.67087222148832
27.514000000000	-0.67088675143339
27.516000000000	-0.67089959675857
27.518000000000	-0.67091078378335
27.520000000000	-0.67092033901658
27.522000000000	-0.67092828915628
27.524000000000	-0.67093466108952
27.526000000000	-0.67093948189223
27.528000000000	-0.67094277882905
27.530000000000	-0.67094457935317
27.532000000000	-0.67094491110615
27.534000000000	-0.67094380191778
27.536000000000	-0.67094127980590
27.538000000000	-0.67093737297622
27.540000000000	-0.67093210982218
27.542000000000	-0.67092551892474
27.544000000000	-0.67091762905226
27.546000000000	-0.67090846916026
27.548000000000	-0.67089806839131
27.550000000000	-0.67088645607481
27.552000000000	-0.67087366172683
27.554000000000	-0.67085971504992
27.556000000000	-0.67084464593293
27.558000000000	-0.67082848445086
27.560000000000	-0.67081126086459
27.562000000000	-0.67079300562078
27.564000000000	-0.67077374935164
27.566000000000	-0.67075352287474
27.568000000000	-0.67073235719283
27.570000000000	-0.67071028349363
27.572000000000	-0.67068733314962
27.574000000000	-0.67066353771788
27.576000000000	-0.67063892893985
27.578000000000	-0.67061353874116
27.580000000000	-0.67058739923138
27.582000000000	-0.67056054270384
27.584000000000	-0.67053300163543
27.586000000000	-0.67050480868634
27.588000000000	-0.67047599669990
27.590000000000	-0.67044659870231
27.592000000000	-0.67041664790245
27.594000000000	-0.67038617769164
27.596000000000	-0.67035522164345
27.598000000000	-0.67032381351339
27.600000000000	-0.67029198723876
27.602000000000	-0.67025977693838
27.604000000000	-0.67022721691234
27.606000000000	-0.67019434164177
27.608000000000	-0.67016118578861
27.610000000000	-0.67012778419534
27.612000000000	-0.67009417188474
27.614000000000	-0.67006038405964
27.616000000000	-0.67002645610265
27.618000000000	-0.66999242357591
27.620000000000	-0.66995832222083
27.622000000000	-0.66992418795779
27.624000000000	-0.66989005688594
27.626000000000	-0.66985596528285
27.628000000000	-0.66982194960428
27.630000000000	-0.66978804648387
27.632000000000	-0.66975429273287
27.634000000000	-0.66972072533989
27.636000000000	-0.66968738147051
27.638000000000	-0.66965429846707
27.640000000000	-0.66962151384837
27.642000000000	-0.66958906530929
27.644000000000	-0.66955699072057
27.646000000000	-0.66952532812845
27.648000000000	-0.66949411575436
27.650000000000	-0.66946339199461
27.652000000000	-0.66943319542007
27.654000000000	-0.66940356477582
27.656000000000	-0.66937453898084
27.658000000000	-0.66934615712766
27.660000000000	-0.66931845848203
27.662000000000	-0.66929148248257
27.664000000000	-0.66926526874041
27.666000000000	-0.66923985703886
27.668000000000	-0.66921528733302
27.670000000000	-0.66919159974943
27.672000000000	-0.66916883458573
27.674000000000	-0.66914703231022
27.676000000000	-0.66912623356156
27.678000000000	-0.66910647914834
27.680000000000	-0.66908781004867
27.682000000000	-0.66907026740987
27.684000000000	-0.66905389254799
27.686000000000	-0.66903872694745
27.688000000000	-0.66902481226061
27.690000000000	-0.66901219030739
27.692000000000	-0.66900090307481
27.694000000000	-0.66899099271659
27.696000000000	-0.66898250155273
27.698000000000	-0.66897547206905
27.700000000000	-0.66896994691677
27.702000000000	-0.66896596891205
27.704000000000	-0.66896358103556
27.706000000000	-0.66896282643201
27.708000000000	-0.66896374840967
27.710000000000	-0.66896639043995
27.712000000000	-0.66897079615687
27.714000000000	-0.66897700935663
27.716000000000	-0.66898507399710
27.718000000000	-0.66899503419730
27.720000000000	-0.66900693423699
27.722000000000	-0.66902081855606
27.724000000000	-0.66903673175409
27.726000000000	-0.66905471858983
27.728000000000	-0.66907482398064
27.730000000000	-0.66909709300201
27.732000000000	-0.66912157088698
27.734000000000	-0.66914830302564
27.736000000000	-0.66917733496454
27.738000000000	-0.66920871240619
27.740000000000	-0.66924248120844
27.742000000000	-0.66927868738398
27.744000000000	-0.66931737709969
27.746000000000	-0.66935859667612
27.748000000000	-0.66940239258689
27.750000000000	-0.66944881145808
27.752000000000	-0.66949790006765
27.754000000000	-0.66954970534479
27.756000000000	-0.66960427436939
27.758000000000	-0.66966165437132
27.760000000000	-0.66972189272987
27.762000000000	-0.66978503697309
27.764000000000	-0.66985113477716
27.766000000000	-0.66992023396572
27.768000000000	-0.66999238250921
27.770000000000	-0.67006762852426
27.772000000000	-0.67014602027294
27.774000000000	-0.67022760616213
27.776000000000	-0.67031243474284
27.778000000000	-0.67040055470948
27.780000000000	-0.67049201489919
27.782000000000	-0.67058686429111
27.784000000000	-0.67068515200566
27.786000000000	-0.67078692730387
27.788000000000	-0.67089223958656
27.790000000000	-0.67100113839366
27.792000000000	-0.67111367340347
27.794000000000	-0.67122989443186
27.796000000000	-0.67134985143153
27.798000000000	-0.67147359449125
27.800000000000	-0.67160117383505
27.802000000000	-0.67173263982148
27.804000000000	-0.67186804294275
27.806000000000	-0.67200743382399
27.808000000000	-0.67215086322241
27.810000000000	-0.67229838202646
27.812000000000	-0.67245004125503
27.814000000000	-0.67260589205661
27.816000000000	-0.67276598570845
27.818000000000	-0.67293037361566
27.820000000000	-0.67309910731043
27.822000000000	-0.67327223845109
27.824000000000	-0.67344981882125
27.826000000000	-0.67363190032894
27.828000000000	-0.67381853500568
27.830000000000	-0.67400977500557
27.832000000000	-0.67420567260443
27.834000000000	-0.67440628019883
27.836000000000	-0.67461165030515
27.838000000000	-0.67482183555870
27.840000000000	-0.67503688871269
27.842000000000	-0.67525686263736
27.844000000000	-0.67548181031895
27.846000000000	-0.67571178485874
27.848000000000	-0.67594683947209
27.850000000000	-0.67618702748741
27.852000000000	-0.67643240234520
27.854000000000	-0.67668301759699
27.856000000000	-0.67693892690437
27.858000000000	-0.67720018403791
27.860000000000	-0.67746684287619
27.862000000000	-0.67773895740468
27.864000000000	-0.67801658171471
27.866000000000	-0.67829977000243
27.868000000000	-0.67858857656771
27.870000000000	-0.67888305581305
27.872000000000	-0.67918326224250
27.874000000000	-0.67948925046055
27.876000000000	-0.67980107517104
27.878000000000	-0.68011879117598
27.880000000000	-0.68044245337450
27.882000000000	-0.68077211676163
27.884000000000	-0.68110783642722
27.886000000000	-0.68144966755472
27.888000000000	-0.68179766542005
27.890000000000	-0.68215188539041
27.892000000000	-0.68251238292309
27.894000000000	-0.68287921356429
27.896000000000	-0.68325243294786
27.898000000000	-0.68363209679416
27.900000000000	-0.68401826090878
27.902000000000	-0.68441098118131
27.904000000000	-0.68481031358410
27.906000000000	-0.68521631417105
27.908000000000	-0.68562903907624
27.910000000000	-0.68604854451277
27.912000000000	-0.68647488677141
27.914000000000	-0.68690812221930
27.916000000000	-0.68734830729870
27.918000000000	-0.68779549852564
27.920000000000	-0.68824975248858
27.922000000000	-0.68871112584713
27.924000000000	-0.68917967533065
27.926000000000	-0.68965545773696
27.928000000000	-0.69013852993092
27.930000000000	-0.69062894884309
27.932000000000	-0.69112677146834
27.934000000000	-0.69163205486448
27.936000000000	-0.69214485615083
27.938000000000	-0.69266523250682
27.940000000000	-0.69319324117058
27.942000000000	-0.69372893943752
27.944000000000	-0.69427238465884
